id,name,categories,latitude,longitude,address,zip_code,price,rating,review_count,url,walk_score,first_review_date
YmrTE3k7eIUCrUPi18MeMQ,Schaller's Stube Sausage Bar,german ,30.26548,-97.74405,102 1/2 W 3rd St,78701,,4.5,20,https://www.yelp.com/biz/schallers-stube-sausage-bar-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,99,7/30/2018
yV01eojIM0Om-LxJVnusMQ,Jewhungry?,delis kosher ,30.22565,-97.76274,3808 South Congress Ave,78704,$,5,6,https://www.yelp.com/biz/jewhungry-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,72,4/16/2018
vLKgesyq-yEfpzeAFgPorQ,The Picnic,unknown,30.26365337,-97.76316732,1720 Barton Springs Rd,78704,$$,4.5,80,https://www.yelp.com/biz/the-picnic-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,69,4/8/2014
6A8smdPYPc1u5pP1ATZQug,Dolce Bacio Gelato,desserts gelato ,30.26315,-97.72591,1606 E 6th St,78702,,5,9,https://www.yelp.com/biz/dolce-bacio-gelato-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,88,9/11/2018
OorxaXtp3JtnkyBQ27TXjg,Pastelaria São Paulo,brazilian ,30.24441,-97.75808,603 W Live Oak St,78704,,5,19,https://www.yelp.com/biz/pastelaria-s%C3%A3o-paulo-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,86,6/22/2018
0m9yum2bqMCQtxbHuQbQFw,DEE DEE,thai ,30.25901,-97.71445,2500 E 6th St,78702,$$,4.5,302,https://www.yelp.com/biz/dee-dee-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,86,2/28/2016
WcM37VLxPGjpGVFT_HYOFQ,Basin Handcrafted,juicebars breakfast_brunch ,30.255323,-97.720232,2207 E Cesar Chavez St,78702,,5,9,https://www.yelp.com/biz/basin-handcrafted-austin-2?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,79,8/1/2018
iCpyXPsePXB_UqT4_hVqBg,The Big Kahuna,hawaiian poke ,30.321166,-97.739538,5000 Burnet Rd,78756,$,4.5,395,https://www.yelp.com/biz/the-big-kahuna-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,84,10/13/2011
xwHhz09uHHTuxJiuRbaS6Q,Boteco,brazilian latin ,30.26431,-97.72789,1403 E 7th St,78702,$$,5,346,https://www.yelp.com/biz/boteco-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,91,4/4/2015
iTTTWoP-RQ2p4olt5fFqdA,Alegria Aguas Frescas,juicebars ,30.22599,-97.76942,525 W Ben White Blvd,78704,,5,2,https://www.yelp.com/biz/alegria-aguas-frescas-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,71,7/14/2018
YQzVeMnf53DK2CO_sc9DBg,Casita Boriqua,puertorican ,30.25535,-97.72023,2207 E Cesar Chavez St,78702,,5,6,https://www.yelp.com/biz/casita-boriqua-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,79,7/21/2018
OScONrhDohwUodq_Y5Mw2g,Ducrés,cajun ,30.26676554,-97.73618717,617 E 7th St,78701,,5,3,https://www.yelp.com/biz/ducr%C3%A9s-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,95,8/26/2018
8FU8soDb92RmOLUmPVzQ9g,Blenders and Bowls - Guadalupe,acaibowls ,30.30145,-97.73928,3500 B Guadalupe St,78705,$$,4.5,19,https://www.yelp.com/biz/blenders-and-bowls-guadalupe-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,87,5/1/2018
J3xfooD9xJS2iIcCGAnCCA,Gourdough's,donuts ,30.320838,-97.739424,5000 Burnet Rd,78756,$,4.5,3061,https://www.yelp.com/biz/gourdoughs-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,84,10/3/2009
0lgGW93HYeVqrTTx9d3gUA,Chi'Lantro,korean bbq ,30.27063456,-97.74154206,823 Congress Ave,78701,$,4,707,https://www.yelp.com/biz/chilantro-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,99,2/7/2010
wRMFreMjQsE3wpcxu4AlkQ,Tito Adobo,filipino ,30.25535,-97.72023,2207 East Cesar Chavez,78702,$,5,38,https://www.yelp.com/biz/tito-adobo-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,79,2/3/2018
K9cNZfraQJ_kOfRZqIWJqQ,Taco Rob,tacos ,30.26466,-97.7634,412 Sterzing St,78704,,5,2,https://www.yelp.com/biz/taco-rob-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,72,8/31/2018
AMAMsOl7EboFl1eiGtXglw,Rock House Bar & Trailer Park,unknown,30.40256651,-97.8550625,6900 Ranch Rd 620 N,78732,,4.5,12,https://www.yelp.com/biz/rock-house-bar-and-trailer-park-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,42,12/13/2017
IdqmhiOnjXuggfrR38CyDg,Hawai'i Nei cafe,hawaiian poke ,30.261,-97.75736,1210 Barton Springs Rd,78704,,5,5,https://www.yelp.com/biz/hawaii-nei-cafe-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,86,9/10/2018
M39ntxmCL5hzfqkPN1BEcQ,Antojitos Guatemala,tacos ,30.2576828,-97.72705078,1621 E Cesar Chavez St,78702,,5,5,https://www.yelp.com/biz/antojitos-guatemala-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,87,10/4/2017
y4tAMaI_ARbhauoO4vbWJg,Garbo's Lobster Truck,unknown,30.44588196,-97.68619443,14735 Bratton Ln,78728,$$,4,259,https://www.yelp.com/biz/garbos-lobster-truck-austin-5?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,41,2/17/2013
SWZfJW-uvBLJsKl5GEzLhQ,Groovy Sno-n-Coffee,shavedice coffee ,30.24257,-97.75869,2313 S 1st St,78704,,5,5,https://www.yelp.com/biz/groovy-sno-n-coffee-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,85,5/6/2018
hQrDB_W5QbVk3JSOfmwzJg,Pupuseria 503 Y Mas,salvadoran ,30.33715,-97.71994,808 Justin Ln,78757,,5,5,https://www.yelp.com/biz/pupuseria-503-y-mas-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,79,9/3/2018
jmmzYxurOoA_K_RtanzQow,Paperboy,breakfast_brunch ,30.26845564,-97.72753954,1203 E 11th St,78702,$,4.5,351,https://www.yelp.com/biz/paperboy-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,91,11/13/2015
F5UHUlaSOEmXVCMFeQNcZQ,Korean Komfort,korean ,30.30093,-97.73895,3423 Guadalupe St,78705,$,4,129,https://www.yelp.com/biz/korean-komfort-austin-3?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,87,3/7/2014
p3B6eJbEC4JIbsBlJy9sjw,Sazon Catracho,honduran ,30.21841328,-97.76535473,4329 S Congress Ave,78745,,5,3,https://www.yelp.com/biz/sazon-catracho-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,66,4/13/2018
ISDCL5Z2t3f8UC2a-oU3sg,Curcuma,unknown,30.255323,-97.720232,2207 E Cesar Chavez St,78702,$$,4.5,52,https://www.yelp.com/biz/curcuma-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,79,9/3/2016
8Dga4I-cMTIsQtM2-5hT6A,Tumble 22,unknown,30.2699515,-97.7485375,600 W 6th St,78701,$,4.5,200,https://www.yelp.com/biz/tumble-22-austin?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,97,4/27/2017
pHHJoT4MVQugUQqO1bDnWg,Veracruz All Natural,tacos ,30.2966595,-97.70782214,4209 Airport Blvd,78722,,4,1,https://www.yelp.com/biz/veracruz-all-natural-austin-13?adjust_creative=BrBVbvRJvDe2nFKgnT6pEw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=BrBVbvRJvDe2nFKgnT6pEw,59,9/23/2018
